ISCO-88 Title,ISCO-88 code,ISCO-08 code,,ISCO-08 Title,Comments
"Waiters, Waitresses and Bartenders",5123,5132,,Bartenders,
Child-care Workers,5131,5311,,Child Care Workers,
Child-care Workers,5131,5312,,Teachers’ Aides,
Institution-based Personal Care Workers,5132,3258,,Ambulance Workers,
Institution-based Personal Care Workers,5132,5321,,Health Care Assistants,
Institution-based Personal Care Workers,5132,5329,,Personal Care Workers in Health Services Not Elsewhere Classified,"Hospital orderlies, medical imaging assistants, dental aids"
Home-based Personal Care Workers,5133,5322,,Home-based Personal Care Workers,
Personal Care and Related Workers Not Elsewhere Classified,5139,5164,,Pet Groomers and Animal Care Workers,Veterinary aids
Personal Care and Related Workers Not Elsewhere Classified,5139,5329,,Personal Care Workers in Health Services Not Elsewhere Classified,
"Hairdressers, Barbers, Beauticians and Related Workers",5141,5141,,Hairdressers,
"Hairdressers, Barbers, Beauticians and Related Workers",5141,5142,,Beauticians and Related Workers,
Companions and Valets,5142,5162,,Companions and Valets,
Undertakers and Embalmers,5143,5163,,Undertakers and Embalmers,
Other Personal Services Workers Not Elsewhere Classified,5149,5169,,Personal Services Workers Not Elsewhere Classified,
Astrologers and Related Workers,5151,5161,p,"Astrologers, Fortune-tellers and Related Workers",
"Fortune-tellers, Palmists and Related Workers",5152,5161,p,"Astrologers, Fortune-tellers and Related Workers",
Fire-fighters,5161,5411,,Firefighters,
Police Officers,5162,5412,,Police Officers,
Prison Guards,5163,5413,,Prison Guards,
Protective Services Workers not Elsewhere Classified,5169,5414,p,Security Guards,
Protective Services Workers not Elsewhere Classified,5169,5419,,Protective Services Workers Not Elsewhere Classified,
Fashion and Other Models,5210,5241,,Fashion and Other Models,
Shop Salespersons and Demonstrators,5220,5222,,Shop Supervisors,
Shop Salespersons and Demonstrators,5220,5223,,Shop Sales Assistants,
Shop Salespersons and Demonstrators,5220,5242,,Sales Demonstrators,
Shop Salespersons and Demonstrators,5220,5245,,Service Station Attendants,
Shop Salespersons and Demonstrators,5220,5246,p,Food Service Counter Attendants,
#N/A,,5249,,Sales Workers Not Elsewhere Classified,Rental salespersons 
Stall and Market Salespersons,5230,5211,,Stall and Market Salespersons,
Stall and Market Salespersons,5230,5246,p,Food Service Counter Attendants,
Field Crop and Vegetable Growers,6111,6111,p,Field Crop and Vegetable Growers,
Tree and Shrub Crop Growers,6112,6112,p,Tree and Shrub Crop Growers,
"Gardeners, Horticultural and Nursery Growers",6113,6113,p,Gardeners; Horticultural and Nursery Growers,
"Gardeners, Horticultural and Nursery Growers",6113,9214,,Garden and Horticultural Labourers,"Although garden labourers should logically be classified in ISCO-88 9211, they were not specifically mentioned in the definition or the index.  It is likely that some garden and horticultural workers classified in ISCO-08 9214 were classified in certain national contexts in ISCO-88 6113.  "
Mixed-crop Growers,6114,6114,p,Mixed Crop Growers,
Dairy and Livestock Producers,6121,6121,p,Livestock and Dairy Producers,
Poultry Producers,6122,6122,p,Poultry Producers,
Apiarists and Sericulturists,6123,6123,p,Apiarists and Sericulturists,
Mixed-animal Producers,6124,6121,p,Livestock and Dairy Producers,
Mixed-animal Producers,6124,6122,p,Poultry Producers,
Mixed-animal Producers,6124,6123,p,Apiarists and Sericulturists,
Market-oriented Animal Producers and Related Workers Not Elsewhere Classified,6129,5164,,Pet Groomers and Animal Care Workers,
Market-oriented Animal Producers and Related Workers Not Elsewhere Classified,6129,6129,,Animal Producers Not Elsewhere Classified,
Market-oriented Crop and Animal Producers,6130,6130,p,Mixed Crop and Animal Producers,
Forestry Workers and Loggers,6141,6210,p,Forestry and Related Workers,
Charcoal Burners and Related Workers,6142,6210,p,Forestry and Related Workers,
Aquatic-life Cultivation Workers,6151,6221,p,Aquaculture Workers,
Inland and Coastal Waters Fishery Workers,6152,6222,p,Inland and Coastal Waters Fishery Workers,
Inland and Coastal Waters Fishery Workers,6152,7541,p,Underwater Divers,"Divers for sponges,  pearls and other aquatic products"
Deep-sea Fishery Workers,6153,6223,p,Deep-sea Fishery Workers,
Hunters and Trappers,6154,6224,,Hunters and Trappers,
Subsistence Agricultural and Fishery Workers,6210,6310,,Subsistence Crop Farmers,
Subsistence Agricultural and Fishery Workers,6210,6320,,Subsistence Livestock Farmers,
Subsistence Agricultural and Fishery Workers,6210,6330,,Subsistence Mixed Crop and Livestock Farmers,
Subsistence Agricultural and Fishery Workers,6210,6340,,"Subsistence Fishers, Hunters, Trappers and Gatherers",
Miners and Quarry Workers,7111,3121,,Mining Supervisors,
Miners and Quarry Workers,7111,8111,p,Miners and Quarriers,
Shotfirers and Blasters,7112,7542,,Shotfirers and Blasters,
"Stone Splitters, Cutters and Carvers",7113,7113,p,"Stonemasons, Stone Cutters, Splitters and Carvers",
"Builders, Traditional Materials",7121,7111,p,House Builders,
Bricklayers and Stonemasons,7122,7112,,Bricklayers and Related Workers,
Bricklayers and Stonemasons,7122,7113,p,"Stonemasons, Stone Cutters, Splitters and Carvers",
"Concrete Placers, Concrete Finishers and Related Workers",7123,7114,,"Concrete Placers, Concrete Finishers and Related Workers",
Carpenters and Joiners,7124,7115,,Carpenters and Joiners,
Building Frame and Related Trades Workers Not Elsewhere Classified,7129,3123,p,Construction Supervisors,
Building Frame and Related Trades Workers Not Elsewhere Classified,7129,7111,p,House Builders,House builders not using traditional materials
Building Frame and Related Trades Workers Not Elsewhere Classified,7129,7119,,Building Frame and Related Trades Workers Not Elsewhere Classified,
Roofers,7131,7121,,Roofers,
Floor Layers and Tile Setters,7132,7122,,Floor Layers and Tile Setters,
Plasterers,7133,7123,,Plasterers,
Insulation Workers,7134,7124,,Insulation Workers,
Glaziers,7135,7125,,Glaziers,
Plumbers and Pipe Fitters,7136,7126,,Plumbers and Pipe Fitters,
Building and Related Electricians,7137,7411,,Building and Related Electricians,
Painters and Related Workers,7141,7131,,Painters and Related Workers,
Varnishers and Related Painters,7142,7132,,Spray Painters and Varnishers,
Building Structure Cleaners,7143,7133,,Building Structure Cleaners,
Building Structure Cleaners,7143,7544,,Fumigators and Other Pest and Weed Controllers,
Metal Moulders and Coremakers,7211,7211,p,Metal Moulders and Coremakers,
Welders and Flamecutters,7212,7212,,Welders and Flamecutters,
Sheet-metal Workers,7213,7213,,Sheet Metal Workers,
Structural-metal Preparers and Erectors,7214,7214,,Structural Metal Preparers and Erectors,
Riggers and Cable Splicers,7215,7215,,Riggers and Cable Splicers,
Underwater Workers,7216,7541,p,Underwater Divers,
"Blacksmiths, Hammer-smiths and Forging-press Workers",7221,7221,,"Blacksmiths, Hammersmiths and Forging Press Workers",
Tool-makers and Related Workers,7222,7222,,Toolmakers and Related Workers,
Machine-tool Setters and Setter-operators,7223,7223,p,Metal Working Machine Tool Setters and Operators,
Machine-tool Setters and Setter-operators,7223,7319,p,Handicraft Workers Not Elsewhere Classified,Metal toymakers
"Metal Wheel-grinders, Polishers and Tool Sharpeners",7224,7224,,"Metal Polishers, Wheel Grinders and Tool Sharpeners",
Motor Vehicle Mechanics and Fitters,7231,7231,,Motor Vehicle Mechanics and Repairers,
Motor Vehicle Mechanics and Fitters,7231,7234,,Bicycle and Related Repairers,
Aircraft Engine Mechanics and Fitters,7232,7232,,Aircraft Engine Mechanics and Repairers,
Agricultural- or Industrial-machinery Mechanics and Fitters,7233,7127,,Air Conditioning and Refrigeration Mechanics,
Agricultural- or Industrial-machinery Mechanics and Fitters,7233,7233,,Agricultural and Industrial Machinery Mechanics and Repairers,
Electrical Mechanics and Fitters,7241,7412,,Electrical Mechanics and Fitters,
Electronics Fitters,7242,7421,p,Electronics Mechanics and Servicers,
Electronics Fitters,7242,7422,p,Information and Communications Technology Installers and Servicers,
Electronics Mechanics and Servicers,7243,7421,p,Electronics Mechanics and Servicers,
Electronics Mechanics and Servicers,7243,7422,p,Information and Communications Technology Installers and Servicers,
Telegraph and Telephone Installers and Servicers,7244,7422,p,Information and Communications Technology Installers and Servicers,
"Electrical Line Installers, Repairers and Cable Jointers",7245,7413,,Electrical Line Installers and Repairers ,
"Electrical Line Installers, Repairers and Cable Jointers",7245,7422,p,Information and Communications Technology Installers and Servicers,
Precision-instrument Makers and Repairers,7311,3214,p,Medical and Dental Prosthetic Technicians,
Precision-instrument Makers and Repairers,7311,7311,,Precision-instrument Makers and Repairers,
Musical-instrument Makers and Tuners,7312,7312,,Musical instrument Makers and Tuners,
Jewellery and Precious-metal Workers,7313,7313,,Jewellery and Precious Metal Workers,
"Abrasive Wheel Formers, Potters and Related Workers",7321,7314,,Potters and Related Workers,
"Glass-makers, Cutters, Grinders and Finishers",7322,7315,,"Glass Makers, Cutters, Grinders and Finishers",
"Glass-makers, Cutters, Grinders and Finishers",7322,7549,,Craft and Related Workers Not Elsewhere Classified,"Lens polishers, grinders, moulders and slicers"
Glass Engravers and Etchers,7323,7316,p,"Signwriters, Decorative Painters, Engravers and Etchers",
"Glass, Ceramics and Related Decorative Painters",7324,7316,p,"Signwriters, Decorative Painters, Engravers and Etchers",
Handicraft Workers in Wood and Related Materials,7331,7317,p,"Handicraft Workers in Wood, Basketry and Related Materials",
Handicraft Workers in Wood and Related Materials,7331,7319,p,Handicraft Workers Not Elsewhere Classified,
"Handicraft Workers in Textile, Leather and Related Materials",7332,7318,p,"Handicraft Workers in Textile, Leather and Related Materials",
"Compositors, Typesetters and Related Workers",7341,7321,p,Pre-press Technicians,
"Compositors, Typesetters and Related Workers",7341,7322,p,Printers ,"Printers, printing machine setters, takers-off"
Stereotypers and Electrotypers,7342,7321,p,Pre-press Technicians,
Printing Engravers and Etchers,7343,7321,p,Pre-press Technicians,
Photographic and Related Workers,7344,8132,p,Photographic Products Machine Operators,
